time_ms,rawAccelX_g,rawAccelY_g,rawAccelZ_g,rawGyroX_dps,rawGyroY_dps,rawGyroZ_dps,filteredAccelX_g,filteredAccelY_g,filteredAccelZ_g,filteredGyroX_dps,filteredGyroY_dps,filteredGyroZ_dps
18012,0.924170,-0.072383,-0.571704,6.158855,-133.296340,-0.126641,0.107085,-0.120907,-0.589128,17.286753,-45.688370,-5.853904
18112,1.177100,0.038945,-0.797534,16.204657,-0.754351,1.415344,0.321088,-0.088937,-0.630809,17.178543,-41.194969,-5.126979
18212,1.149756,-0.030879,-0.609546,3.296260,42.795269,13.781756,0.486822,-0.077325,-0.626557,15.790315,-32.795940,-3.236105
18312,1.065771,-0.042842,-0.582935,-4.207557,42.764732,12.621450,0.602612,-0.070428,-0.617832,13.790527,-25.239872,-1.650349
18412,0.988623,-0.026973,-0.565356,-1.780076,-134.273440,-50.699158,0.679814,-0.061737,-0.607337,12.233466,-36.143230,-6.555232
18512,1.403906,0.148564,-0.913745,0.532901,234.421220,46.125267,0.824632,-0.019677,-0.668619,11.063410,-9.086781,-1.287180
18612,0.174658,-0.306270,-0.123706,-169.719010,248.970840,174.514590,0.694638,-0.076995,-0.559636,-7.014836,16.718988,16.293001
18712,-0.800684,-0.246211,-0.706958,16.838245,115.856330,16.713053,0.395573,-0.110839,-0.589101,-4.629528,26.632725,16.335007
18812,-0.719873,-0.240352,-0.407397,8.105420,96.612061,9.751222,0.172484,-0.136741,-0.552760,-3.356032,33.630661,15.676628
18912,-0.808740,-0.249629,-0.598560,-9.047252,36.383057,11.422977,-0.023761,-0.159319,-0.561920,-3.925154,33.905899,15.251263
19012,-0.797022,-0.221309,-0.646899,-15.238091,1.612061,-0.989237,-0.178413,-0.171717,-0.578916,-5.056448,30.676514,13.627213
19112,-0.723047,-0.223018,-0.631274,-0.230458,-64.166565,-5.973969,-0.287340,-0.181977,-0.589387,-4.573850,21.192204,11.667094
19212,-0.745508,-0.259639,-0.538989,92.647400,-251.296340,-41.943436,-0.378973,-0.197509,-0.579308,5.148277,-6.056658,6.306040
19312,0.885107,-0.144648,-0.205493,10.739008,-251.296340,-64.599922,-0.126157,-0.186937,-0.504545,5.707351,-30.580631,-0.784558
19412,0.978857,-0.049434,-0.432788,8.120687,19.703663,31.797024,0.094846,-0.159436,-0.490194,5.948685,-25.552200,2.473601
19512,0.839209,-0.076045,-0.478442,5.548168,-5.105496,2.392443,0.243718,-0.142758,-0.487843,5.908633,-23.507528,2.465485
19612,0.913184,-0.061396,-0.463794,6.624504,37.505192,6.972595,0.377611,-0.126486,-0.483033,5.980220,-17.406254,2.916196
19712,0.774756,-0.113154,-0.141040,-32.650307,248.970840,1.537481,0.457040,-0.123819,-0.414635,2.117167,9.231462,2.778324
19812,-0.017969,-0.169062,0.076733,-71.551071,248.970840,87.850456,0.362038,-0.132868,-0.316361,-5.249659,33.205406,11.285540
19912,-0.509424,-0.180293,-0.086841,-18.009083,-11.120764,16.919159,0.187746,-0.142353,-0.270457,-6.525601,28.772789,11.848902
20012,-0.356104,-0.139277,-0.216479,1.555802,-45.968090,0.903893,0.078976,-0.141738,-0.259662,-5.717461,21.298700,10.754400
20112,-0.234521,-0.133174,-0.072437,-3.993817,-28.685650,-6.577023,0.016277,-0.140025,-0.222217,-5.545096,16.300262,9.021257
20212,-0.197900,-0.169307,-0.067554,-1.222824,-28.945190,-13.867099,-0.026559,-0.145881,-0.191284,-5.112869,11.775716,6.732421
20312,-0.170801,-0.196650,-0.021411,2.914580,-55.777252,-11.806030,-0.055407,-0.156035,-0.157309,-4.310124,5.020417,4.878575
20412,-0.983789,-0.657344,-0.131274,132.280990,-118.449010,31.186335,-0.241084,-0.256297,-0.152102,9.348991,-7.326529,7.509352
20512,0.054541,0.601445,0.125562,254.219910,-19.082596,6.300839,-0.181959,-0.084748,-0.096570,33.836090,-8.502135,7.388500
20612,0.153906,0.826543,-0.214526,75.593964,-40.464275,-5.622825,-0.114786,0.097510,-0.120161,38.011879,-11.698351,6.087368
20712,0.136328,0.741582,-0.336597,-19.780075,-14.716184,2.193969,-0.064563,0.226324,-0.163448,32.232681,-12.000134,5.698028
20812,0.118506,0.719609,-0.311694,-4.612137,-6.899389,1.262672,-0.027949,0.324981,-0.193097,28.548199,-11.490060,5.254492
20912,0.121680,0.983281,0.202954,-77.314430,42.604427,-1.714427,0.001977,0.456641,-0.113887,17.961933,-6.080610,4.557600
21012,-0.086328,-0.303340,-0.531909,-246.047240,54.474659,-8.355649,-0.015684,0.304645,-0.197491,-8.438992,-0.025082,3.266275
21112,-0.303369,-0.266719,-0.385669,-37.047253,27.092978,-12.088473,-0.073221,0.190372,-0.235127,-11.299818,2.686725,1.730800
21212,-0.146875,-0.564326,-0.270923,27.845879,-34.761982,-29.973970,-0.087952,0.039433,-0.242286,-7.385247,-1.058146,-1.439678
21312,-0.173975,-0.486689,-0.214770,35.975651,-14.410840,-5.447252,-0.105157,-0.065792,-0.236783,-3.049156,-2.393416,-1.840435
21412,-0.118066,-0.432490,-0.161792,66.342056,-54.227631,1.682519,-0.107739,-0.139131,-0.221785,3.889966,-7.576838,-1.488140
21512,-0.088770,-0.128291,-0.358081,254.219910,-97.006264,32.499313,-0.103945,-0.136963,-0.249044,28.922966,-16.519783,1.910606
21612,0.097510,0.865605,-0.020923,81.708473,-40.013893,19.888626,-0.063654,0.063550,-0.203420,34.201515,-18.869194,3.708409
